SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
13829,13830,4157,IL-00043,WESTVILLE,61883,VERMILION,IL,"68,291.00","57,191.00","11,100.00","41,900.00","31,600.00","10,300.00"
13867,13868,,CA-00215,BIG SUR,93920,MONTEREY,CA,"1,576,743.00","1,095,678.00","481,065.00","531,700.00","400,000.00","131,700.00"
13869,13870,,CT-00032,SHELTON,6484,FAIRFIELD,CT,"57,830.00",0,"57,830.00","33,500.00",0,"33,500.00"
13878,13879,,FL-00097,BOYNTON BEACH,33426,PALM BEACH,FL,"69,910.00","65,660.00","4,250.00","50,400.00","46,100.00","4,300.00"
13878,13879,,FL-00097,BOYNTON BEACH,33435,PALM BEACH,FL,"70,165.00","59,095.00","11,070.00",0,0,0
13878,13879,,FL-00097,BOYNTON BEACH,33436,PALM BEACH,FL,"57,623.00","55,123.00","2,500.00","52,700.00","50,200.00","2,500.00"
13878,13879,,FL-00097,CLEWISTON,33440,HENDRY,FL,"35,129.00","28,494.00","6,635.00",0,0,0
13878,13879,,FL-00097,DELRAY BEACH,33445,PALM BEACH,FL,"206,219.00","105,724.00","100,495.00","114,600.00","74,600.00","40,000.00"
13878,13879,,FL-00097,DELRAY BEACH,33446,PALM BEACH,FL,"319,268.00","120,998.00","198,270.00","162,800.00","55,000.00","107,800.00"
13878,13879,,FL-00097,DELRAY BEACH,33484,PALM BEACH,FL,"173,907.00","50,959.00","122,948.00","81,200.00","13,900.00","67,300.00"
13878,13879,,FL-00097,HOBE SOUND,33455,MARTIN,FL,"29,449.00","29,449.00",0,"29,500.00","29,500.00",0
13878,13879,,FL-00097,JUPITER,33478,PALM BEACH,FL,"24,066.00","24,066.00",0,"24,100.00","24,100.00",0
13878,13879,,FL-00097,LAKE PARK,33403,PALM BEACH,FL,"4,900.00",0,"4,900.00","4,900.00",0,"4,900.00"
13878,13879,,FL-00097,LAKE WORTH,33460,PALM BEACH,FL,"19,644.00","19,644.00",0,"19,700.00","19,700.00",0
13878,13879,,FL-00097,LAKE WORTH,33461,PALM BEACH,FL,"4,752.00","2,952.00","1,800.00",0,0,0
13878,13879,,FL-00097,LANTANA,33462,PALM BEACH,FL,"160,790.00","107,650.00","53,140.00","160,900.00","107,800.00","53,100.00"
13878,13879,,FL-00097,OKEECHOBEE,34974,OKEECHOBEE,FL,"5,595.00","5,595.00",0,"5,600.00","5,600.00",0
13878,13879,,FL-00097,WEST PALM BCH,33407,PALM BEACH,FL,"6,901.00","6,701.00",200,0,0,0
13883,13884,,IN-00053,KOKOMO,46901,HOWARD,IN,"130,122.00","99,903.00","30,219.00","2,100.00","2,100.00",0
13883,13884,,IN-00053,KOKOMO,46902,HOWARD,IN,"751,598.00","619,123.00","132,475.00","378,900.00","342,300.00","36,600.00"
13883,13884,,IN-00053,LAFAYETTE,47909,TIPPECANOE,IN,"21,573.00","21,573.00",0,0,0,0
13883,13884,,IN-00053,LOGANSPORT,46947,CASS,IN,"11,079.00","11,079.00",0,"11,100.00","11,100.00",0
13883,13884,,IN-00053,MARION,46952,GRANT,IN,"199,153.00","186,953.00","12,200.00","227,800.00","187,000.00","12,200.00"
13883,13884,,IN-00053,MELLOTT,47958,FOUNTAIN,IN,"373,036.00","298,186.00","74,850.00","203,300.00","154,500.00","48,800.00"
13883,13884,,IN-00053,RUSSIAVILLE,46979,HOWARD,IN,"175,002.00","165,452.00","9,550.00","9,000.00","9,000.00",0
13883,13884,,IN-00053,VEEDERSBURG,47987,FOUNTAIN,IN,"105,355.00","102,285.00","3,070.00",0,0,0
13883,13884,,IN-00053,WASHINGTON,47501,DAVIESS,IN,"376,512.00","308,252.00","68,260.00","201,300.00","176,400.00","24,900.00"
13892,13893,,NY-00140,WEST SENECA,14224,ERIE,NY,"852,338.00","539,363.00","312,975.00","525,800.00","333,800.00","158,300.00"
13924,13925,4168,WA-00039,ARLINGTON,98223,SNOHOMISH,WA,"2,466,547.00","1,831,656.00","634,891.00","944,600.00","615,900.00","158,000.00"
13927,13928,,NY-00141,NEW YORK,10035,NEW YORK,NY,"21,005.00",0,"21,005.00",0,0,0
13936,13937,,MS-00070,CROSBY,39633,AMITE,MS,"12,423.00","12,123.00",300,"12,500.00","12,200.00",300
13936,13937,,MS-00070,CROSBY,39633,WILKINSON,MS,"144,000.00","123,110.00","20,890.00","57,700.00","53,500.00","4,200.00"
13936,13937,,MS-00070,LIBERTY,39645,AMITE,MS,"4,965.00","4,165.00",800,"5,000.00","4,200.00",800
13936,13937,,MS-00070,NATCHEZ,39120,ADAMS,MS,"104,707.00","102,407.00","2,300.00","86,600.00","86,600.00",0
13936,13937,,MS-00070,WOODVILLE,39669,WILKINSON,MS,"42,688.00","26,433.00","16,255.00",0,0,0
13940,13941,,MS-00071,COLLINS,39428,COVINGTON,MS,"114,887.00","108,937.00","5,950.00","102,800.00","97,100.00","5,700.00"
13940,13941,,MS-00071,D LO,39062,SIMPSON,MS,"83,285.00","77,585.00","5,700.00","8,400.00","2,700.00","5,700.00"
13940,13941,,MS-00071,LAUREL,39443,JONES,MS,"3,000.00",0,"3,000.00","3,000.00",0,"3,000.00"
13940,13941,,MS-00071,MOUNT OLIVE,39119,COVINGTON,MS,"86,846.00","86,221.00",625,"68,500.00","68,200.00",300
13940,13941,,MS-00071,PINOLA,39149,SIMPSON,MS,"40,045.00","26,821.00","13,224.00","26,600.00","22,600.00","4,000.00"
13940,13941,,MS-00071,TAYLORSVILLE,39168,COVINGTON,MS,"20,400.00",0,"20,400.00","16,100.00",0,"16,100.00"
13940,13941,,MS-00071,TAYLORSVILLE,39168,SMITH,MS,"12,710.00",0,"12,710.00","9,300.00",0,"9,300.00"
13942,13943,,AL-00053,BESSEMER,35020,JEFFERSON,AL,"10,253.00","9,263.00",990,"10,300.00","9,300.00","1,000.00"
13942,13943,,AL-00053,BIRMINGHAM,35205,JEFFERSON,AL,"25,516.00","15,446.00","10,070.00","25,600.00","15,500.00","10,100.00"
13942,13943,,AL-00053,BIRMINGHAM,35209,JEFFERSON,AL,"16,275.00",0,"16,275.00",0,0,0
13942,13943,,AL-00053,BIRMINGHAM,35211,JEFFERSON,AL,"6,400.00","6,400.00",0,"6,400.00","6,400.00",0
13942,13943,,AL-00053,HOMEWOOD,35209,JEFFERSON,AL,"85,156.00","11,726.00","73,430.00","34,700.00","11,800.00","22,900.00"
13942,13943,,AL-00053,HOOVER,35226,JEFFERSON,AL,"38,365.00","34,010.00","4,355.00","38,300.00","34,000.00","4,300.00"
13942,13943,,AL-00053,PELHAM,35124,SHELBY,AL,"61,536.00","29,541.00","31,995.00",0,0,0
13957,13958,4174,AR-00070,CONWAY,72032,FAULKNER,AR,"6,164,820.00","4,320,232.00","1,844,588.00","1,839,800.00","1,420,500.00","343,700.00"
13957,13958,4174,AR-00070,JUDSONIA,72081,WHITE,AR,"63,795.00","34,295.00","29,500.00",0,0,0
13957,13958,4174,AR-00070,LITTLE ROCK,72223,PULASKI,AR,"217,804.00","190,779.00","27,025.00","79,600.00","72,900.00","6,700.00"
13957,13958,4174,AR-00070,MAYFLOWER,72106,FAULKNER,AR,"11,613,441.00","8,663,283.00","2,950,158.00","2,679,200.00","1,900,500.00","778,700.00"
13957,13958,4174,AR-00070,PANGBURN,72121,WHITE,AR,"112,702.00","109,652.00","3,050.00",0,0,0
13957,13958,4174,AR-00070,PARON,72122,PULASKI,AR,"1,265,419.00","1,036,669.00","228,750.00","436,100.00","387,200.00","48,900.00"
13957,13958,4174,AR-00070,POCAHONTAS,72455,RANDOLPH,AR,"21,285.00","17,735.00","3,550.00","6,500.00","4,300.00","2,200.00"
13957,13958,4174,AR-00070,ROLAND,72135,PULASKI,AR,"1,138,296.00","950,500.00","187,796.00","294,600.00","249,300.00","45,300.00"
13957,13958,4174,AR-00070,SEARCY,72143,WHITE,AR,"976,183.00","785,868.00","190,315.00","523,900.00","449,400.00","74,500.00"
13957,13958,4174,AR-00070,VILONIA,72173,FAULKNER,AR,"9,560,235.00","6,902,803.00","2,657,432.00","2,942,800.00","2,193,200.00","749,600.00"
13957,13958,4174,AR-00070,WARM SPRINGS,72478,RANDOLPH,AR,"18,108.00","18,108.00",0,"17,500.00","17,500.00",0
13959,13960,4175,MS-00072,BRANDON,39042,RANKIN,MS,"92,461.00","90,661.00","1,800.00","81,400.00","81,400.00",0
13959,13960,4175,MS-00072,BRANDON,39047,RANKIN,MS,"38,784.00","38,784.00",0,"28,800.00","28,800.00",0
13959,13960,4175,MS-00072,CANTON,39046,MADISON,MS,"13,495.00","11,575.00","1,920.00",0,0,0
13959,13960,4175,MS-00072,CARTHAGE,39051,LEAKE,MS,"283,778.00","231,678.00","52,100.00",0,0,0
13959,13960,4175,MS-00072,COLUMBUS,39701,LOWNDES,MS,"149,708.00","132,926.00","16,782.00","98,000.00","95,500.00","2,500.00"
13959,13960,4175,MS-00072,COLUMBUS,39702,LOWNDES,MS,"2,252,276.00","1,915,003.00","337,273.00","805,300.00","707,700.00","97,600.00"
13959,13960,4175,MS-00072,COLUMBUS,39705,LOWNDES,MS,"73,707.00","73,707.00",0,"47,700.00","47,700.00",0
13959,13960,4175,MS-00072,FLORA,39071,MADISON,MS,"25,482.00","23,982.00","1,500.00",0,0,0
13959,13960,4175,MS-00072,GUNTOWN,38849,ITAWAMBA,MS,"221,468.00","221,468.00",0,0,0,0
13959,13960,4175,MS-00072,GUNTOWN,38849,LEE,MS,"988,829.00","861,069.00","127,760.00","604,700.00","528,500.00","76,200.00"
13959,13960,4175,MS-00072,HEIDELBERG,39439,JONES,MS,"373,937.00","233,637.00","140,300.00","96,200.00","74,400.00","21,800.00"
13959,13960,4175,MS-00072,LAUREL,39440,JONES,MS,"25,292.00","25,292.00",0,"20,600.00","20,600.00",0
13959,13960,4175,MS-00072,LAUREL,39443,JONES,MS,"1,249,188.00","1,036,923.00","212,265.00","1,043,600.00","850,400.00","134,100.00"
13959,13960,4175,MS-00072,LOUISVILLE,39339,WINSTON,MS,"12,349,668.00","9,542,615.00","2,807,053.00","3,869,900.00","2,934,100.00","935,800.00"
13959,13960,4175,MS-00072,MADISON,39110,MADISON,MS,"322,240.00","263,080.00","59,160.00","240,000.00","200,000.00","40,000.00"
13959,13960,4175,MS-00072,MAGEE,39111,SIMPSON,MS,"18,673.00","16,073.00","2,600.00",0,0,0
13959,13960,4175,MS-00072,MANTACHIE,38855,ITAWAMBA,MS,"1,341,075.00","1,088,346.00","252,729.00","392,800.00","311,900.00","80,900.00"
13959,13960,4175,MS-00072,MARIETTA,38856,ITAWAMBA,MS,"1,817,746.00","1,570,896.00","246,850.00","713,500.00","575,200.00","138,300.00"
13959,13960,4175,MS-00072,MENDENHALL,39114,SIMPSON,MS,"33,159.00","27,359.00","5,800.00","32,400.00","26,600.00","5,800.00"
13959,13960,4175,MS-00072,NOXAPATER,39346,WINSTON,MS,"770,665.00","651,045.00","119,620.00","430,900.00","379,500.00","51,400.00"
13959,13960,4175,MS-00072,PEARL,39208,RANKIN,MS,"440,652.00","298,212.00","142,440.00","142,700.00","112,800.00","29,900.00"
13959,13960,4175,MS-00072,PHILADELPHIA,39350,WINSTON,MS,"135,526.00","82,126.00","53,400.00","120,500.00","80,500.00","40,000.00"
13959,13960,4175,MS-00072,SALTILLO,38866,LEE,MS,"2,170,008.00","1,835,739.00","334,269.00","1,077,600.00","938,900.00","138,700.00"
13959,13960,4175,MS-00072,SHANNON,38868,LEE,MS,"19,124.00","19,124.00",0,0,0,0
13959,13960,4175,MS-00072,SHUBUTA,39360,WAYNE,MS,"104,685.00","92,935.00","11,750.00","49,800.00","38,100.00","11,700.00"
13959,13960,4175,MS-00072,SOSO,39480,JONES,MS,"18,073.00","18,073.00",0,"18,100.00","18,100.00",0
13959,13960,4175,MS-00072,STEENS,39766,LOWNDES,MS,916,916,0,0,0,0
13959,13960,4175,MS-00072,TAYLORSVILLE,39168,JONES,MS,"19,381.00","14,881.00","4,500.00","14,500.00","10,000.00","4,500.00"
13959,13960,4175,MS-00072,TUPELO,38801,LEE,MS,"3,288,367.00","2,896,936.00","391,431.00","1,300,800.00","1,114,200.00","186,600.00"
13959,13960,4175,MS-00072,TUPELO,38802,LEE,MS,"12,483.00",0,"12,483.00",0,0,0
13959,13960,4175,MS-00072,TUPELO,38804,LEE,MS,"7,613,029.00","6,393,741.00","1,219,288.00","3,020,600.00","2,633,300.00","387,300.00"
13959,13960,4175,MS-00072,VICKSBURG,39180,WARREN,MS,"77,276.00","72,176.00","5,100.00","58,100.00","53,500.00","4,600.00"
13959,13960,4175,MS-00072,WAYNESBORO,39367,WAYNE,MS,"923,430.00","739,785.00","183,645.00","300,700.00","239,200.00","61,500.00"
13967,13968,4176,AL-00054,ADAMSVILLE,35005,JEFFERSON,AL,"306,415.00","245,949.00","60,466.00","183,200.00","157,700.00","25,500.00"
13967,13968,4176,AL-00054,ATHENS,35611,LIMESTONE,AL,"5,785,399.00","4,726,544.00","1,058,855.00","2,384,900.00","1,898,100.00","486,800.00"
13967,13968,4176,AL-00054,AXIS,36505,MOBILE,AL,"6,795.00","5,745.00","1,050.00",0,0,0
13967,13968,4176,AL-00054,BAY MINETTE,36507,BALDWIN,AL,"204,891.00","181,416.00","23,475.00","78,100.00","78,100.00",0
13967,13968,4176,AL-00054,BESSEMER,35020,JEFFERSON,AL,"446,816.00","417,357.00","29,459.00","95,000.00","70,700.00","8,800.00"
13967,13968,4176,AL-00054,BESSEMER,35022,JEFFERSON,AL,"276,190.00","229,752.00","46,438.00","93,600.00","85,700.00","7,900.00"
13967,13968,4176,AL-00054,BIRMINGHAM,35211,JEFFERSON,AL,"6,383.00","6,383.00",0,"6,400.00","6,400.00",0
13967,13968,4176,AL-00054,BIRMINGHAM,35212,JEFFERSON,AL,"15,014.00","15,014.00",0,"15,100.00","15,100.00",0
13967,13968,4176,AL-00054,BIRMINGHAM,35214,JEFFERSON,AL,"58,972.00","28,247.00","30,725.00","34,500.00","3,800.00","30,700.00"
13967,13968,4176,AL-00054,BIRMINGHAM,35217,JEFFERSON,AL,880,184,696,0,0,0
13967,13968,4176,AL-00054,BIRMINGHAM,35222,JEFFERSON,AL,"15,661.00","15,661.00",0,0,0,0
13967,13968,4176,AL-00054,BIRMINGHAM,35234,JEFFERSON,AL,"32,105.00","32,105.00",0,0,0,0
13967,13968,4176,AL-00054,BOAZ,35956,ETOWAH,AL,"2,085,126.00","1,749,653.00","335,473.00","919,500.00","790,800.00","128,700.00"
13967,13968,4176,AL-00054,BOAZ,35957,DE KALB,AL,"606,542.00","451,145.00","155,397.00","326,400.00","249,400.00","77,000.00"
13967,13968,4176,AL-00054,BOAZ,35957,ETOWAH,AL,"260,304.00","190,529.00","69,775.00","13,100.00","13,100.00",0
13967,13968,4176,AL-00054,BRIGHTON,35020,JEFFERSON,AL,"1,114.00","1,114.00",0,0,0,0
13967,13968,4176,AL-00054,CHICKASAW,36611,MOBILE,AL,"60,920.00","56,520.00","4,400.00","11,900.00","11,900.00",0
13967,13968,4176,AL-00054,CHUNCHULA,36521,MOBILE,AL,"2,605.00",0,"2,605.00",0,0,0
13967,13968,4176,AL-00054,CITRONELLE,36522,MOBILE,AL,"10,294.00","10,294.00",0,0,0,0
13967,13968,4176,AL-00054,COLLINSVILLE,35961,DE KALB,AL,"10,978.00","8,810.00","2,168.00","8,700.00","8,000.00",700
13967,13968,4176,AL-00054,COTTONDALE,35453,TUSCALOOSA,AL,"153,446.00","116,346.00","37,100.00","13,600.00","13,600.00",0
13967,13968,4176,AL-00054,CROSSVILLE,35962,DE KALB,AL,"21,962.00","17,462.00","4,500.00",0,0,0
13967,13968,4176,AL-00054,DAPHNE,36526,BALDWIN,AL,"1,794,266.00","1,407,061.00","387,205.00","816,900.00","653,400.00","163,500.00"
13967,13968,4176,AL-00054,DUNCANVILLE,35456,TUSCALOOSA,AL,"21,142.00","20,862.00",280,"2,000.00","2,000.00",0
13967,13968,4176,AL-00054,EIGHT MILE,36613,MOBILE,AL,"80,990.00","71,395.00","9,595.00","57,300.00","54,900.00","2,400.00"
13967,13968,4176,AL-00054,ELBERTA,36530,BALDWIN,AL,"2,346,036.00","1,621,881.00","724,155.00","901,400.00","653,000.00","248,400.00"
13967,13968,4176,AL-00054,FAIRFIELD,35064,JEFFERSON,AL,"16,305.00","16,305.00",0,"16,400.00","16,400.00",0
13967,13968,4176,AL-00054,FAIRHOPE,36532,BALDWIN,AL,"2,432,803.00","1,879,949.00","552,854.00","790,200.00","590,700.00","199,500.00"
13967,13968,4176,AL-00054,FOLEY,36535,BALDWIN,AL,"4,406,484.00","2,873,772.00","1,532,712.00","1,870,300.00","1,175,600.00","694,700.00"
13967,13968,4176,AL-00054,GRAND BAY,36541,MOBILE,AL,"59,442.00","51,657.00","7,785.00","31,400.00","23,700.00","7,700.00"
13967,13968,4176,AL-00054,GRAYSVILLE,35073,JEFFERSON,AL,"1,270,561.00","1,002,288.00","268,273.00","581,100.00","469,900.00","111,200.00"
13967,13968,4176,AL-00054,GULF SHORES,36542,BALDWIN,AL,"1,395,791.00","502,281.00","893,510.00","466,000.00","208,400.00","257,600.00"
13967,13968,4176,AL-00054,GULF SHORES,36547,BALDWIN,AL,"67,800.00",0,"67,800.00","26,300.00",0,"26,300.00"
13967,13968,4176,AL-00054,IRVINGTON,36544,MOBILE,AL,"35,769.00","30,869.00","4,900.00","29,600.00","24,700.00","4,900.00"
13967,13968,4176,AL-00054,KIMBERLY,35091,JEFFERSON,AL,"319,334.00","250,586.00","68,748.00","205,900.00","177,900.00","28,000.00"
